SSN;File;Priority;Line;Description;Rule set;Rule
s2151863;Tutorial2018/s248930dir/genJava/source/P4WCIprojectin1file.pde;3;104;Do not use drawing method line(float*, float*, float*, float*) in method display, display is called outside of the draw sequence and can therefore not contain drawing methods.;Processing Ruleset;DecentralizedDrawingRule
s2151863;Tutorial2018/s248930dir/genJava/source/P4WCIprojectin1file.pde;3;109;Do not use drawing method ellipse(float*, float*, float, float) in method display, display is called outside of the draw sequence and can therefore not contain drawing methods.;Processing Ruleset;DecentralizedDrawingRule
s2151863;Tutorial2018/s248930dir/genJava/source/P4WCIprojectin1file.pde;3;114;Do not use drawing method arc(float*, float*, float, float, float, float) in method display, display is called outside of the draw sequence and can therefore not contain drawing methods.;Processing Ruleset;DecentralizedDrawingRule
s2151863;Tutorial2018/s248930dir/genJava/source/P4WCIprojectin1file.pde;3;13;Do not use literals for pixels for text(char, float*, float*) inside method draw.;Processing Ruleset;PixelHardcodeIgnoranceRule
s2151863;Tutorial2018/s248930dir/genJava/source/P4WCIprojectin1file.pde;3;15;Do not use literals for pixels for text(char, float*, float*) inside method draw.;Processing Ruleset;PixelHardcodeIgnoranceRule
s2151863;Tutorial2018/s248930dir/genJava/source/P4WCIprojectin1file.pde;3;47;The method display is too long, 48 lines of code are counted. The method should be made more efficient or split in multiple methods.;Processing Ruleset;LongMethodRule
s2151863;Tutorial2018/s248930dir/genJava/source/P4WCIprojectin1file.pde;3;53;Do not use drawing method triangle(float*, float*, float*, float*, float*, float*) in method display, display is called outside of the draw sequence and can therefore not contain drawing methods.;Processing Ruleset;DecentralizedDrawingRule
s2151863;Tutorial2018/s248930dir/genJava/source/P4WCIprojectin1file.pde;3;54;Do not use drawing method triangle(float*, float*, float*, float*, float*, float*) in method display, display is called outside of the draw sequence and can therefore not contain drawing methods.;Processing Ruleset;DecentralizedDrawingRule
s2151863;Tutorial2018/s248930dir/genJava/source/P4WCIprojectin1file.pde;3;59;Do not use drawing method triangle(float*, float*, float*, float*, float*, float*) in method display, display is called outside of the draw sequence and can therefore not contain drawing methods.;Processing Ruleset;DecentralizedDrawingRule
s2151863;Tutorial2018/s248930dir/genJava/source/P4WCIprojectin1file.pde;3;60;Do not use drawing method triangle(float*, float*, float*, float*, float*, float*) in method display, display is called outside of the draw sequence and can therefore not contain drawing methods.;Processing Ruleset;DecentralizedDrawingRule
s2151863;Tutorial2018/s248930dir/genJava/source/P4WCIprojectin1file.pde;3;65;Do not use drawing method ellipse(float*, float*, float, float) in method display, display is called outside of the draw sequence and can therefore not contain drawing methods.;Processing Ruleset;DecentralizedDrawingRule
s2151863;Tutorial2018/s248930dir/genJava/source/P4WCIprojectin1file.pde;3;69;Do not use drawing method ellipse(float*, float*, float, float) in method display, display is called outside of the draw sequence and can therefore not contain drawing methods.;Processing Ruleset;DecentralizedDrawingRule
s2151863;Tutorial2018/s248930dir/genJava/source/P4WCIprojectin1file.pde;3;70;Do not use drawing method ellipse(float*, float*, float, float) in method display, display is called outside of the draw sequence and can therefore not contain drawing methods.;Processing Ruleset;DecentralizedDrawingRule
s2151863;Tutorial2018/s248930dir/genJava/source/P4WCIprojectin1file.pde;3;73;Do not use drawing method ellipse(float*, float*, float, float) in method display, display is called outside of the draw sequence and can therefore not contain drawing methods.;Processing Ruleset;DecentralizedDrawingRule
s2151863;Tutorial2018/s248930dir/genJava/source/P4WCIprojectin1file.pde;3;74;Do not use drawing method ellipse(float*, float*, float, float) in method display, display is called outside of the draw sequence and can therefore not contain drawing methods.;Processing Ruleset;DecentralizedDrawingRule
s2151863;Tutorial2018/s248930dir/genJava/source/P4WCIprojectin1file.pde;3;81;Do not use drawing method ellipse(float*, float*, float, float) in method display, display is called outside of the draw sequence and can therefore not contain drawing methods.;Processing Ruleset;DecentralizedDrawingRule
s2151863;Tutorial2018/s248930dir/genJava/source/P4WCIprojectin1file.pde;3;86;Do not use drawing method ellipse(float*, float*, float, float) in method display, display is called outside of the draw sequence and can therefore not contain drawing methods.;Processing Ruleset;DecentralizedDrawingRule
s2151863;Tutorial2018/s248930dir/genJava/source/P4WCIprojectin1file.pde;3;91;Do not use drawing method ellipse(float*, float*, float, float) in method display, display is called outside of the draw sequence and can therefore not contain drawing methods.;Processing Ruleset;DecentralizedDrawingRule
s2151863;Tutorial2018/s248930dir/genJava/source/P4WCIprojectin1file.pde;3;97;Do not use drawing method triangle(float*, float*, float*, float*, float*, float*) in method display, display is called outside of the draw sequence and can therefore not contain drawing methods.;Processing Ruleset;DecentralizedDrawingRule
s2151863;Tutorial2018/s248930dir/genJava/source/P4WCIprojectin1file.pde;3;98;Do not use drawing method triangle(float*, float*, float*, float*, float*, float*) in method display, display is called outside of the draw sequence and can therefore not contain drawing methods.;Processing Ruleset;DecentralizedDrawingRule
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;139;Field eating has the same name as a method;Naming;AvoidFieldNameMatchingMethodName
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;148;The method display is too long, 59 lines of code are counted. The method should be made more efficient or split in multiple methods.;Processing Ruleset;LongMethodRule
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;1;Possible God class (WMC=47, ATFD=34, TCC=0.07142857142857142). A high ATFD value (Access To Foreign Data) means that a class (or main tab) does too much work for other classes.;Design;GodClass
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;239;Avoid unnecessary comparisons in boolean expressions;Design;SimplifyBooleanExpressions
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;239;Do not use global event variable keyPressed in method move, move is not part of the event handling methods.;Processing Ruleset;DecentralizedEventHandlingRule
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;240;Do not use global event variable keyCode in method move, move is not part of the event handling methods.;Processing Ruleset;DecentralizedEventHandlingRule
s2177064;Tutorial2018/s249462dir/genJava/source/P4WCIprojectin1file.pde;3;242;Do not use global event variable keyCode in method move, move is not part of the event handling methods.;Processing Ruleset;DecentralizedEventHandlingRule
