@relation test

@attribute text string
@attribute ClassArff {correct,PixelHardcodeIgnoranceRule,LongMethodRule,SimplifyBooleanExpressions,IfElseStmtsMustUseBraces,VariableNamingConventions,DecentralizedEventHandlingRule,DrawingStateChangeRule,ShortVariable,TooManyFields,DecentralizedDrawingRule,EmptyIfStmt,AtLeastOneConstructor,LongParameterListRule,IfStmtsMustUseBraces,AvoidFieldNameMatchingMethodName,StdCyclomaticComplexity,AvoidFieldNameMatchingTypeName,EmptyStatementNotInLoop,StatelessClassRule,UncommentedEmptyConstructor,MethodNamingConventions,ForLoopsMustUseBraces,FieldDeclarationsShouldBeAtStartOfClass,UnusedFormalParameter,AvoidReassigningParameters,AvoidDeeplyNestedIfStmts,IdempotentOperations}

@data
'randomY - 3',correct
'vertex(randomX, randomY + 3)',correct
'randomY - 4',correct
'vertex(randomX, randomY - 12)',correct
'// Create lowest part of characterbeginShape();',correct
'randomY - 2',correct
'text("Hint: Try pressing the mouse to see what it can do", 500, 530);',PixelHardcodeIgnoranceRule
'randomY - 5',correct
'randomY - 6',correct
'bezierVertex(characterX - 5, characterY - 5, characterX - 10, characterY + 20, characterX - 20, characterY + 15);',correct
'{    colorMode(HSB);}',correct
'{    randomX = randomX - 2;}',correct
'arrayBigStar[i].move()',correct
'ellipse(characterX + 52, characterY + 5, 7, 9)',correct
'// If a key has been pressed, start drawing the creature, background and objectsif (stage == 1) {    background(0);    // Display and move the backgroundstars (Draw them on random positions)    for (int i = 0; i < 30; i++) {        arrayBigStar[i].display();        arrayBigStar[i].move();    }    for (int i = 0; i < 30; i++) {        arraySmallStar[i].display();        arraySmallStar[i].move();    }    // Display objects    body1.display();    eyes.display();    eyes.update();    beam1.display();}',correct
'"PRESS ANY KEY TO SEE THE MAJESTIC BEAST"',correct
'stroke(0);',correct
'stroke(0)',correct
'bezierVertex(characterX - 5, characterY - 5, characterX - 10, characterY + 20, characterX - 20, characterY + 15)',correct
'{    noStroke();    fill(255);    // Create eye when closed    arc(characterX + 50, characterY + 11, 14, 30, PI, TWO_PI);    arc(characterX + 28, characterY + 11, 14, 30, PI, TWO_PI);    strokeWeight(3);    stroke(0);    line(characterX + 55, characterY + 5, characterX + 44, characterY + 5);    line(characterX + 22, characterY + 5, characterX + 33, characterY + 5);}',correct
'arraySmallStar[i] = new smallStar(random(0, 1000), random(0, 1000));',correct
'void display() {    // Display the beam when the mouse is pressed    if (!newBeam) {        noStroke();        colorMode(HSB);        // Color changes over time to create a rainbow effect        if (rainbowcolor >= 255)            rainbowcolor = 0;        else            rainbowcolor++;        rainbowcolor++;        {            fill(rainbowcolor, 255, 255);        }        triangle(characterX + 100, characterY + 48, width + random(0, 300), characterY + 48 + 20, width + random(0, 300), characterY + 48 - 20);    }    colorMode(RGB);}',correct
'{    characterX = initX;    characterY = initY;    timer = 0;    rainbow = false;}',correct
'// Create eye when openarc(characterX + 50, characterY + 11, 14, 30, PI, TWO_PI);',correct
'{    arraySmallStar[i] = new smallStar(random(0, 1000), random(0, 1000));}',correct
'beam1.display()',correct
'bigStar[]',correct
'PFont',correct
'characterY = initY',correct
'Beam(float initX, float initY) {    characterX = initX;    characterY = initY;    timer = 0;    rainbow = false;}',correct
'if (blinkCounter >= 180 && blinkCounter < 190) {    isOpen = false;    blinkCounter++;} else if (blinkCounter >= 190) {    blinkCounter = 0;}',correct
'void move() {    // Make the stars move to the left at a constant speed    if (starmovement >= 255)        starmovement = 0;    else        starmovement++;    starmovement++;    {        randomX = randomX - 2;    }    if (randomX <= -8) {        randomX = width;    }}',correct
'bezierVertex(characterX + 125, characterY + 14, characterX + 100, characterY + 63, characterX + 50, characterY + 65)',correct
'fill(0);',correct
'void move(float mouseX_, float mouseY_) {    // Move object    characterX = mouseX_;    characterY = mouseY_;}',correct
'eyes',correct
'smallStar[] arraySmallStar = new smallStar[30];',correct
'vertex(randomX - 12, randomY - 4);',correct
'textAlign(CENTER)',correct
'fill(rainbowcolor, 255, 255)',correct
'vertex(randomX, randomY + 3);',correct
'ellipse(characterX + 20, characterY + 70, 50, 30)',correct
'characterY',correct
'{    if (isOpen) {        noStroke();        fill(255);        // Create eye when open        arc(characterX + 50, characterY + 11, 14, 30, PI, TWO_PI);        arc(characterX + 28, characterY + 11, 14, 30, PI, TWO_PI);        fill(0);        ellipse(characterX + 52, characterY + 5, 7, 9);        ellipse(characterX + 30, characterY + 5, 7, 9);    } else {        noStroke();        fill(255);        // Create eye when closed        arc(characterX + 50, characterY + 11, 14, 30, PI, TWO_PI);        arc(characterX + 28, characterY + 11, 14, 30, PI, TWO_PI);        strokeWeight(3);        stroke(0);        line(characterX + 55, characterY + 5, characterX + 44, characterY + 5);        line(characterX + 22, characterY + 5, characterX + 33, characterY + 5);    }}',correct
'randomY + 10',correct
'characterX',correct
'blinkCounter >= 180 && blinkCounter < 190',correct
'vertex(randomX + 6, randomY - 2)',correct
'quadraticVertex(characterX + 20, characterY - 33, characterX + 65, characterY - 13)',correct
'noCursor();',correct
'quadraticVertex(characterX + 105, characterY + 45, characterX + 95, characterY + 54);',correct
'void draw() {    // If no key has been pressed show a start screen    if (stage == 0) {        background(3, 16, 38);        textAlign(CENTER);        textSize(35);        text("PRESS ANY KEY TO SEE THE MAJESTIC BEAST", 500, 500);        textSize(15);        text("Hint: Try pressing the mouse to see what it can do", 500, 530);        if (keyPressed == true) {            stage = 1;        }    }    // If a key has been pressed, start drawing the creature, background and objects    if (stage == 1) {        background(0);        // Display and move the backgroundstars (Draw them on random positions)        for (int i = 0; i < 30; i++) {            arrayBigStar[i].display();            arrayBigStar[i].move();        }        for (int i = 0; i < 30; i++) {            arraySmallStar[i].display();            arraySmallStar[i].move();        }        // Display objects        body1.display();        eyes.display();        eyes.update();        beam1.display();    }}',correct
'colorMode(HSB)',correct
'new Body(300, 300)',correct
'// Move objectcharacterX = mouseX_;',correct
'eyes.update()',correct
'vertex(randomX + 12, randomY - 4);',correct
'blinkCounter >= 180',correct
'newBeam',correct
'characterY + 118',correct
'vertex(randomX - 3, randomY + 1)',correct
'eyes.move(mouseX, mouseY)',correct
'// Create eye when closedarc(characterX + 50, characterY + 11, 14, 30, PI, TWO_PI);',correct
'vertex(randomX, randomY + 6)',correct
'fill(255, 190, 127)',correct
'randomY - 12',correct
'characterX = initX;',correct
'vertex(characterX + 17, characterY + 90);',correct
'vertex(characterX - 20, characterY)',correct
'starmovement = 0',correct
'arc(characterX + 51, characterY + 37, 7, 15, 0, PI, CHORD)',correct
'vertex(randomX + 6, randomY - 2);',correct
'stage == 0',correct
'quadraticVertex(characterX - 26, characterY + 37, characterX - 44, characterY + 37)',correct
'stage == 1',correct
'bezierVertex(characterX + 104, characterY + 47, characterX + 81, characterY + 81, characterX + 71, characterY + 68);',correct
'{    // Move objects when mouse is dragged    body1.move(mouseX, mouseY);    eyes.move(mouseX, mouseY);    beam1.move(mouseX, mouseY);}',correct
'arraySmallStar = new smallStar[30]',correct
'arraySmallStar[i]',correct
'smallStar',correct
'rainbowcolor++;',correct
'noCursor()',correct
'arrayBigStar[i].display();',correct
'{    blinkCounter++;    isOpen = true;}',correct
'Processing',correct
'void mousePressed() {    // When mousepressed newBeam should be false    newBeam = false;}',correct
'new smallStar[30]',correct
'vertex(characterX + 48, characterY + 63)',correct
'{    blinkCounter = 0;}',correct
'new Eye(300, 300)',correct
'arc(characterX + 25, characterY + 35, 7, 15, 0, PI + 0.3f, CHORD)',correct
'for (int i = 0; i < 30; i++) {    arraySmallStar[i] = new smallStar(random(0, 1000), random(0, 1000));}',correct
'line(characterX + 22, characterY + 5, characterX + 33, characterY + 5)',correct
